word	count	age	total	percent
LHL	0	Hs_ps31	688	0
HEL	0	Hs_ps31	688	0
EHL	0	Hs_ps31	688	0
LEL	0	Hs_ps31	688	0
HHL	0	Hs_ps31	688	0
EHE	6	Hs_ps31	688	0.872093023255814
HEH	9	Hs_ps31	688	1.30813953488372
EEH	23	Hs_ps31	688	3.34302325581395
EEE	23	Hs_ps31	688	3.34302325581395
EHH	24	Hs_ps31	688	3.48837209302326
EE	30	Hs_ps31	688	4.36046511627907
HHH	31	Hs_ps31	688	4.50581395348837
HLH	38	Hs_ps31	688	5.52325581395349
ELE	49	Hs_ps31	688	7.12209302325581
HH	50	Hs_ps31	688	7.26744186046512
EH	56	Hs_ps31	688	8.13953488372093
ELH	57	Hs_ps31	688	8.28488372093023
L	67	Hs_ps31	688	9.73837209302326
H	108	Hs_ps31	688	15.6976744186047
E	117	Hs_ps31	688	17.0058139534884
LHL	0	Hs_rand	312	0
HEL	0	Hs_rand	312	0
EHL	0	Hs_rand	312	0
LEL	0	Hs_rand	312	0
HHL	0	Hs_rand	312	0
L	9	Hs_rand	312	2.88461538461538
EHE	12	Hs_rand	312	3.84615384615385
HEH	13	Hs_rand	312	4.16666666666667
HLH	14	Hs_rand	312	4.48717948717949
HHH	16	Hs_rand	312	5.12820512820513
ELE	19	Hs_rand	312	6.08974358974359
EE	20	Hs_rand	312	6.41025641025641
EHH	21	Hs_rand	312	6.73076923076923
EEE	22	Hs_rand	312	7.05128205128205
ELH	22	Hs_rand	312	7.05128205128205
HH	23	Hs_rand	312	7.37179487179487
EEH	25	Hs_rand	312	8.01282051282051
H	27	Hs_rand	312	8.65384615384615
E	30	Hs_rand	312	9.61538461538462
EH	39	Hs_rand	312	12.5
LHL	0	Hs_ps20-21	246	0
HEL	0	Hs_ps20-21	246	0
EHL	0	Hs_ps20-21	246	0
HEH	0	Hs_ps20-21	246	0
EHH	0	Hs_ps20-21	246	0
LEL	0	Hs_ps20-21	246	0
HHL	0	Hs_ps20-21	246	0
EEE	1	Hs_ps20-21	246	0.40650406504065
EHE	2	Hs_ps20-21	246	0.813008130081301
EEH	3	Hs_ps20-21	246	1.21951219512195
HHH	6	Hs_ps20-21	246	2.4390243902439
HH	9	Hs_ps20-21	246	3.65853658536585
EE	10	Hs_ps20-21	246	4.0650406504065
ELE	12	Hs_ps20-21	246	4.8780487804878
ELH	13	Hs_ps20-21	246	5.28455284552846
HLH	13	Hs_ps20-21	246	5.28455284552846
EH	16	Hs_ps20-21	246	6.50406504065041
E	45	Hs_ps20-21	246	18.2926829268293
L	57	Hs_ps20-21	246	23.1707317073171
H	59	Hs_ps20-21	246	23.9837398373984
LHL	0	Hs_igen	482	0
HEL	0	Hs_igen	482	0
EHL	0	Hs_igen	482	0
LEL	0	Hs_igen	482	0
HHL	0	Hs_igen	482	0
EE	17	Hs_igen	482	3.52697095435685
EEE	19	Hs_igen	482	3.94190871369295
HHH	19	Hs_igen	482	3.94190871369295
EHE	20	Hs_igen	482	4.149377593361
HEH	20	Hs_igen	482	4.149377593361
L	22	Hs_igen	482	4.5643153526971
EEH	23	Hs_igen	482	4.77178423236515
EHH	27	Hs_igen	482	5.60165975103734
ELE	28	Hs_igen	482	5.80912863070539
HH	29	Hs_igen	482	6.01659751037344
HLH	34	Hs_igen	482	7.05394190871369
E	52	Hs_igen	482	10.7883817427386
ELH	53	Hs_igen	482	10.9958506224066
EH	56	Hs_igen	482	11.6182572614108
H	63	Hs_igen	482	13.0705394190871
LHL	0	Hs_ps1-2	1250	0
HEL	0	Hs_ps1-2	1250	0
EHL	0	Hs_ps1-2	1250	0
LEL	0	Hs_ps1-2	1250	0
HHL	0	Hs_ps1-2	1250	0
L	2	Hs_ps1-2	1250	0.16
EHH	6	Hs_ps1-2	1250	0.48
HEH	7	Hs_ps1-2	1250	0.56
EEE	8	Hs_ps1-2	1250	0.64
EEH	10	Hs_ps1-2	1250	0.8
EHE	14	Hs_ps1-2	1250	1.12
HHH	19	Hs_ps1-2	1250	1.52
EE	28	Hs_ps1-2	1250	2.24
HH	34	Hs_ps1-2	1250	2.72
ELH	66	Hs_ps1-2	1250	5.28
ELE	67	Hs_ps1-2	1250	5.36
HLH	72	Hs_ps1-2	1250	5.76
EH	81	Hs_ps1-2	1250	6.48
H	402	Hs_ps1-2	1250	32.16
E	434	Hs_ps1-2	1250	34.72
LHL	0	Hs_ps13-17	314	0
HEL	0	Hs_ps13-17	314	0
EHL	0	Hs_ps13-17	314	0
LEL	0	Hs_ps13-17	314	0
HHL	0	Hs_ps13-17	314	0
EHH	1	Hs_ps13-17	314	0.318471337579618
EEH	2	Hs_ps13-17	314	0.636942675159236
EEE	2	Hs_ps13-17	314	0.636942675159236
HEH	3	Hs_ps13-17	314	0.955414012738854
HHH	4	Hs_ps13-17	314	1.27388535031847
EE	5	Hs_ps13-17	314	1.59235668789809
EHE	7	Hs_ps13-17	314	2.22929936305732
HH	9	Hs_ps13-17	314	2.86624203821656
HLH	15	Hs_ps13-17	314	4.77707006369427
ELH	19	Hs_ps13-17	314	6.05095541401274
EH	24	Hs_ps13-17	314	7.64331210191083
ELE	26	Hs_ps13-17	314	8.28025477707006
L	36	Hs_ps13-17	314	11.4649681528662
E	58	Hs_ps13-17	314	18.4713375796178
H	103	Hs_ps13-17	314	32.8025477707006
