word age value L E H word_length
HHLH Hs_ps31 13 1 0 3 4
HHHH Hs_ps31 14 0 0 4 4
HHE Hs_ps31 14 0 1 2 3
ELELE Hs_ps31 15 2 3 0 5
HLEE Hs_ps31 16 1 2 1 4
HELE Hs_ps31 17 1 2 1 4
EH Hs_ps31 23 0 1 1 2
EEE Hs_ps31 23 0 3 0 3
ELH Hs_ps31 23 1 1 1 3
ELEE Hs_ps31 28 1 3 0 4
EE Hs_ps31 30 0 2 0 2
HHH Hs_ps31 31 0 0 3 3
HE Hs_ps31 33 0 1 1 2
HLE Hs_ps31 34 1 1 1 3
HLH Hs_ps31 38 1 0 2 3
ELE Hs_ps31 49 1 2 0 3
HH Hs_ps31 50 0 0 2 2
L Hs_ps31 67 1 0 0 1
H Hs_ps31 108 0 0 1 1
E Hs_ps31 117 0 1 0 1
ELHEE Hs_rand 12 1 3 1 5
EHEE Hs_rand 13 0 3 1 4
HEH Hs_rand 13 0 1 2 3
HLH Hs_rand 14 1 0 2 3
EELE Hs_rand 14 1 3 0 4
EEH Hs_rand 14 0 2 1 3
ELH Hs_rand 16 1 1 1 3
HHH Hs_rand 16 0 0 3 3
EHLE Hs_rand 18 1 2 1 4
EEEEE Hs_rand 18 0 5 0 5
HE Hs_rand 19 0 1 1 2
ELE Hs_rand 19 1 2 0 3
EH Hs_rand 20 0 1 1 2
EE Hs_rand 20 0 2 0 2
ELEE Hs_rand 21 1 3 0 4
EEEE Hs_rand 22 0 4 0 4
EEE Hs_rand 22 0 3 0 3
HH Hs_rand 23 0 0 2 2
H Hs_rand 27 0 0 1 1
E Hs_rand 30 0 1 0 1
HLEE Hs_ps20-21 3 1 2 1 4
HHLHH Hs_ps20-21 3 1 0 4 5
HLHH Hs_ps20-21 3 1 0 3 4
HHHH Hs_ps20-21 3 0 0 4 4
HLHLH Hs_ps20-21 3 2 0 3 5
HLEH Hs_ps20-21 4 1 1 2 4
ELELE Hs_ps20-21 4 2 3 0 5
HHLH Hs_ps20-21 5 1 0 3 4
EHLH Hs_ps20-21 5 1 1 2 4
HHH Hs_ps20-21 6 0 0 3 3
EH Hs_ps20-21 7 0 1 1 2
HH Hs_ps20-21 9 0 0 2 2
HE Hs_ps20-21 9 0 1 1 2
EE Hs_ps20-21 10 0 2 0 2
ELH Hs_ps20-21 11 1 1 1 3
ELE Hs_ps20-21 12 1 2 0 3
HLH Hs_ps20-21 13 1 0 2 3
E Hs_ps20-21 45 0 1 0 1
L Hs_ps20-21 57 1 0 0 1
H Hs_ps20-21 59 0 0 1 1
HEE Hs_igen 15 0 2 1 3
EELE Hs_igen 16 1 3 0 4
EHH Hs_igen 17 0 1 2 3
ELEE Hs_igen 17 1 3 0 4
EE Hs_igen 17 0 2 0 2
EEE Hs_igen 19 0 3 0 3
HHH Hs_igen 19 0 0 3 3
EHE Hs_igen 20 0 2 1 3
ELELE Hs_igen 20 2 3 0 5
HEH Hs_igen 20 0 1 2 3
L Hs_igen 22 1 0 0 1
HLE Hs_igen 23 1 1 1 3
HE Hs_igen 27 0 1 1 2
ELE Hs_igen 28 1 2 0 3
EH Hs_igen 29 0 1 1 2
HH Hs_igen 29 0 0 2 2
ELH Hs_igen 30 1 1 1 3
HLH Hs_igen 34 1 0 2 3
E Hs_igen 52 0 1 0 1
H Hs_igen 63 0 0 1 1
HLHHH Hs_ps1-2 12 1 0 4 5
HLHH Hs_ps1-2 13 1 0 3 4
HHLEH Hs_ps1-2 14 1 1 3 5
EHHLH Hs_ps1-2 14 1 1 3 5
EHE Hs_ps1-2 14 0 2 1 3
EELE Hs_ps1-2 15 1 3 0 4
ELELE Hs_ps1-2 19 2 3 0 5
HHH Hs_ps1-2 19 0 0 3 3
HLHLH Hs_ps1-2 22 2 0 3 5
HHLH Hs_ps1-2 27 1 0 3 4
EE Hs_ps1-2 28 0 2 0 2
HLE Hs_ps1-2 30 1 1 1 3
HH Hs_ps1-2 34 0 0 2 2
ELH Hs_ps1-2 36 1 1 1 3
HE Hs_ps1-2 38 0 1 1 2
EH Hs_ps1-2 43 0 1 1 2
ELE Hs_ps1-2 67 1 2 0 3
HLH Hs_ps1-2 72 1 0 2 3
H Hs_ps1-2 402 0 0 1 1
E Hs_ps1-2 434 0 1 0 1
HELE Hs_ps13-17 4 1 2 1 4
HHH Hs_ps13-17 4 0 0 3 3
EE Hs_ps13-17 5 0 2 0 2
HLHHLH Hs_ps13-17 5 2 0 4 6
HHHEHELEHLHHEH Hs_ps13-17 5 2 4 8 14
HLHLH Hs_ps13-17 6 2 0 3 5
HLEH Hs_ps13-17 6 1 1 2 4
EHE Hs_ps13-17 7 0 2 1 3
HLELE Hs_ps13-17 7 2 2 1 5
HLHH Hs_ps13-17 7 1 0 3 4
HH Hs_ps13-17 9 0 0 2 2
HE Hs_ps13-17 9 0 1 1 2
ELH Hs_ps13-17 9 1 1 1 3
HLE Hs_ps13-17 10 1 1 1 3
HLH Hs_ps13-17 15 1 0 2 3
EH Hs_ps13-17 15 0 1 1 2
ELE Hs_ps13-17 26 1 2 0 3
L Hs_ps13-17 36 1 0 0 1
E Hs_ps13-17 58 0 1 0 1
H Hs_ps13-17 103 0 0 1 1
