protein	stretch_length	letter	group	pfam_id
ENSP00000314223	6	E	Hs_ps13-17	PF00001.20
ENSP00000314223	6	E	Hs_ps13-17	PF00001.20
ENSP00000314223	3	H	Hs_ps13-17	PF00001.20
ENSP00000314223	19	H	Hs_ps13-17	PF00001.20
ENSP00000314223	10	H	Hs_ps13-17	PF00001.20
ENSP00000314223	36	H	Hs_ps13-17	PF00001.20
ENSP00000314223	28	H	Hs_ps13-17	PF00001.20
ENSP00000314223	57	H	Hs_ps13-17	PF00001.20
ENSP00000314223	26	H	Hs_ps13-17	PF00001.20
ENSP00000314223	11	H	Hs_ps13-17	PF00001.20
ENSP00000314223	14	H	Hs_ps13-17	PF00001.20
ENSP00000314223	5	L	Hs_ps13-17	PF00001.20
ENSP00000314223	2	L	Hs_ps13-17	PF00001.20
ENSP00000314223	10	L	Hs_ps13-17	PF00001.20
ENSP00000314223	9	L	Hs_ps13-17	PF00001.20
ENSP00000314223	12	L	Hs_ps13-17	PF00001.20
ENSP00000314223	17	L	Hs_ps13-17	PF00001.20
ENSP00000314223	1	L	Hs_ps13-17	PF00001.20
ENSP00000314223	5	L	Hs_ps13-17	PF00001.20
ENSP00000314223	5	L	Hs_ps13-17	PF00001.20
ENSP00000319250	5	E	Hs_ps13-17	PF00001.20
ENSP00000319250	4	H	Hs_ps13-17	PF00001.20
ENSP00000319250	7	H	Hs_ps13-17	PF00001.20
ENSP00000319250	17	H	Hs_ps13-17	PF00001.20
ENSP00000319250	11	H	Hs_ps13-17	PF00001.20
ENSP00000319250	34	H	Hs_ps13-17	PF00001.20
ENSP00000319250	24	H	Hs_ps13-17	PF00001.20
ENSP00000319250	34	H	Hs_ps13-17	PF00001.20
ENSP00000319250	38	H	Hs_ps13-17	PF00001.20
ENSP00000319250	13	H	Hs_ps13-17	PF00001.20
ENSP00000319250	1	L	Hs_ps13-17	PF00001.20
ENSP00000319250	4	L	Hs_ps13-17	PF00001.20
ENSP00000319250	2	L	Hs_ps13-17	PF00001.20
ENSP00000319250	6	L	Hs_ps13-17	PF00001.20
ENSP00000319250	8	L	Hs_ps13-17	PF00001.20
ENSP00000319250	10	L	Hs_ps13-17	PF00001.20
ENSP00000319250	4	L	Hs_ps13-17	PF00001.20
ENSP00000319250	25	L	Hs_ps13-17	PF00001.20
ENSP00000319250	3	L	Hs_ps13-17	PF00001.20
ENSP00000319250	5	L	Hs_ps13-17	PF00001.20
ENSP00000309782	5	E	Hs_ps13-17	PF00001.20
ENSP00000309782	3	E	Hs_ps13-17	PF00001.20
ENSP00000309782	3	E	Hs_ps13-17	PF00001.20
ENSP00000309782	5	E	Hs_ps13-17	PF00001.20
ENSP00000309782	5	E	Hs_ps13-17	PF00001.20
ENSP00000309782	3	H	Hs_ps13-17	PF00001.20
ENSP00000309782	17	H	Hs_ps13-17	PF00001.20
ENSP00000309782	10	H	Hs_ps13-17	PF00001.20
ENSP00000309782	35	H	Hs_ps13-17	PF00001.20
ENSP00000309782	5	H	Hs_ps13-17	PF00001.20
ENSP00000309782	19	H	Hs_ps13-17	PF00001.20
ENSP00000309782	4	H	Hs_ps13-17	PF00001.20
ENSP00000309782	39	H	Hs_ps13-17	PF00001.20
ENSP00000309782	4	H	Hs_ps13-17	PF00001.20
ENSP00000309782	6	L	Hs_ps13-17	PF00001.20
ENSP00000309782	1	L	Hs_ps13-17	PF00001.20
ENSP00000309782	3	L	Hs_ps13-17	PF00001.20
ENSP00000309782	4	L	Hs_ps13-17	PF00001.20
ENSP00000309782	1	L	Hs_ps13-17	PF00001.20
ENSP00000309782	10	L	Hs_ps13-17	PF00001.20
ENSP00000309782	5	L	Hs_ps13-17	PF00001.20
ENSP00000309782	1	L	Hs_ps13-17	PF00001.20
ENSP00000309782	1	L	Hs_ps13-17	PF00001.20
ENSP00000374482	19	H	Hs_ps13-17	PF10328.8
ENSP00000374482	28	H	Hs_ps13-17	PF10328.8
ENSP00000374482	44	H	Hs_ps13-17	PF10328.8
ENSP00000374482	24	H	Hs_ps13-17	PF10328.8
ENSP00000374482	4	L	Hs_ps13-17	PF10328.8
ENSP00000374482	4	L	Hs_ps13-17	PF10328.8
ENSP00000374482	2	L	Hs_ps13-17	PF10328.8
ENSP00000205194	6	E	Hs_ps13-17	PF00583.24
ENSP00000205194	8	E	Hs_ps13-17	PF00583.24
ENSP00000205194	8	E	Hs_ps13-17	PF00583.24
ENSP00000205194	3	H	Hs_ps13-17	PF00583.24
ENSP00000205194	4	L	Hs_ps13-17	PF00583.24
ENSP00000205194	8	L	Hs_ps13-17	PF00583.24
ENSP00000205194	2	L	Hs_ps13-17	PF00583.24
ENSP00000205194	2	L	Hs_ps13-17	PF00583.24
ENSP00000443647	4	E	Hs_ps13-17	PF15334.5
ENSP00000443647	3	E	Hs_ps13-17	PF15334.5
ENSP00000443647	5	E	Hs_ps13-17	PF15334.5
ENSP00000443647	10	E	Hs_ps13-17	PF15334.5
ENSP00000443647	3	E	Hs_ps13-17	PF15334.5
ENSP00000443647	3	E	Hs_ps13-17	PF15334.5
ENSP00000443647	4	E	Hs_ps13-17	PF15334.5
ENSP00000443647	4	E	Hs_ps13-17	PF15334.5
ENSP00000443647	3	E	Hs_ps13-17	PF15334.5
ENSP00000443647	5	E	Hs_ps13-17	PF15334.5
ENSP00000443647	5	H	Hs_ps13-17	PF15334.5
ENSP00000443647	3	H	Hs_ps13-17	PF15334.5
ENSP00000443647	3	H	Hs_ps13-17	PF15334.5
ENSP00000443647	7	H	Hs_ps13-17	PF15334.5
ENSP00000443647	5	H	Hs_ps13-17	PF15334.5
ENSP00000443647	3	H	Hs_ps13-17	PF15334.5
ENSP00000443647	3	H	Hs_ps13-17	PF15334.5
ENSP00000443647	3	H	Hs_ps13-17	PF15334.5
ENSP00000443647	5	L	Hs_ps13-17	PF15334.5
ENSP00000443647	8	L	Hs_ps13-17	PF15334.5
ENSP00000443647	10	L	Hs_ps13-17	PF15334.5
ENSP00000443647	53	L	Hs_ps13-17	PF15334.5
ENSP00000443647	20	L	Hs_ps13-17	PF15334.5
ENSP00000443647	19	L	Hs_ps13-17	PF15334.5
