protein	loop_length
ENSP00000366284	2
ENSP00000366284	3
ENSP00000366284	4
ENSP00000366284	234
ENSP00000366284	111
ENSP00000468139	3
ENSP00000333725	99
ENSP00000333725	6
ENSP00000333725	6
ENSP00000333725	29
ENSP00000333725	6
ENSP00000333725	6
ENSP00000333725	6
ENSP00000333725	8
ENSP00000333725	6
ENSP00000333725	6
ENSP00000333725	4
ENSP00000333725	7
ENSP00000251241	10
ENSP00000251241	16
ENSP00000251241	16
ENSP00000480158	2
ENSP00000480158	3
ENSP00000480158	7
ENSP00000480158	1
ENSP00000480158	105
ENSP00000480158	48
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	2
ENSP00000480158	1
ENSP00000480158	1
ENSP00000480158	1
ENSP00000262518	169
ENSP00000262518	938
ENSP00000383938	16
ENSP00000289359	18
ENSP00000325875	2
ENSP00000396722	2
ENSP00000396722	2
ENSP00000281513	37
ENSP00000277982	411
ENSP00000277982	24
ENSP00000277982	145
ENSP00000328307	5
ENSP00000263269	155
ENSP00000440864	67
ENSP00000380308	22
ENSP00000348645	45
ENSP00000348645	4
ENSP00000348645	1
ENSP00000348645	5
ENSP00000348645	102
ENSP00000348645	97
ENSP00000350221	17
ENSP00000350221	14
ENSP00000350221	81
ENSP00000417401	3
ENSP00000417401	274
ENSP00000417401	249
ENSP00000417401	2
ENSP00000425721	13
ENSP00000425721	11
ENSP00000425721	13
ENSP00000336528	127
ENSP00000317128	12
ENSP00000317128	101
ENSP00000317128	135
ENSP00000317128	9
ENSP00000317128	2
ENSP00000317128	82
ENSP00000317123	14
ENSP00000317123	13
ENSP00000317123	32
ENSP00000317123	130
ENSP00000417651	29
ENSP00000379580	5
ENSP00000362869	3
ENSP00000362869	6
ENSP00000293414	2
ENSP00000293414	43
ENSP00000297579	4
ENSP00000297579	11
ENSP00000297579	10
ENSP00000297579	0
ENSP00000253792	67
ENSP00000253792	28
ENSP00000253792	13
ENSP00000439689	267
ENSP00000439689	123
ENSP00000439689	51
ENSP00000216367	44
ENSP00000352219	7
ENSP00000255226	20
ENSP00000352216	15
ENSP00000316240	28
ENSP00000268206	193
ENSP00000268206	164
ENSP00000278742	15
ENSP00000278742	7
ENSP00000278742	9
ENSP00000278742	2
ENSP00000278742	2
ENSP00000278742	7
ENSP00000278742	12
ENSP00000301310	135
ENSP00000301310	6
ENSP00000301310	6
ENSP00000301310	5
ENSP00000301310	6
ENSP00000301310	6
ENSP00000301310	6
ENSP00000301310	6
ENSP00000301310	6
ENSP00000264071	23
ENSP00000363804	6
ENSP00000363804	6
ENSP00000247153	7
ENSP00000247153	8
ENSP00000247153	7
ENSP00000247153	9
ENSP00000247153	7
ENSP00000370718	50
ENSP00000370718	3
ENSP00000327070	1
ENSP00000365891	92
ENSP00000365891	133
ENSP00000385163	120
ENSP00000385163	6
ENSP00000385163	6
ENSP00000385163	6
ENSP00000385163	6
ENSP00000385163	6
ENSP00000385163	26
ENSP00000385163	6
ENSP00000385163	6
ENSP00000385163	6
ENSP00000285814	73
ENSP00000364076	6
ENSP00000377601	24
ENSP00000306524	16
ENSP00000352510	23
ENSP00000352510	14
ENSP00000367794	8
ENSP00000367794	1
ENSP00000367794	5
ENSP00000367794	16
ENSP00000410769	29
ENSP00000410769	7
ENSP00000410769	8
ENSP00000410769	4
ENSP00000410769	2
ENSP00000410769	4
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000444747	6
ENSP00000368304	16
ENSP00000224721	22
ENSP00000224721	12
ENSP00000224721	71
ENSP00000224721	12
ENSP00000224721	12
ENSP00000224721	13
ENSP00000224721	12
ENSP00000224721	11
ENSP00000224721	12
ENSP00000224721	13
ENSP00000224721	12
ENSP00000224721	14
ENSP00000224721	13
ENSP00000224721	17
ENSP00000224721	13
ENSP00000224721	12
ENSP00000224721	30
ENSP00000224721	13
ENSP00000224721	15
ENSP00000224721	12
ENSP00000224721	12
ENSP00000224721	6
ENSP00000224721	8
ENSP00000380763	169
ENSP00000348668	43
ENSP00000256442	3
ENSP00000416330	16
ENSP00000416330	14
ENSP00000416330	7
ENSP00000315654	8
ENSP00000345133	48
ENSP00000345133	56
ENSP00000345133	23
ENSP00000291536	0
ENSP00000291536	0
ENSP00000291536	0
ENSP00000291536	0
ENSP00000291536	4
ENSP00000291536	3
ENSP00000324804	8
ENSP00000324804	13
ENSP00000458570	12
ENSP00000458570	12
ENSP00000458570	7
ENSP00000458570	12
ENSP00000458570	27
ENSP00000458570	23
ENSP00000458570	36
ENSP00000347244	151
ENSP00000347244	83
ENSP00000347244	87
ENSP00000347244	31
ENSP00000347244	21
ENSP00000347244	18
ENSP00000347244	24
ENSP00000347244	0
ENSP00000347244	4
ENSP00000414657	6
ENSP00000414657	4
ENSP00000414657	6
ENSP00000414657	6
ENSP00000348982	6
ENSP00000348982	25
ENSP00000348982	11
ENSP00000348982	2
ENSP00000348982	4
ENSP00000348982	76
ENSP00000348982	22
ENSP00000348982	260
ENSP00000348982	2
ENSP00000348982	67
ENSP00000348982	24
ENSP00000348982	24
ENSP00000348982	22
ENSP00000348982	6
ENSP00000348982	135
ENSP00000296181	35
ENSP00000296181	253
ENSP00000296181	2
ENSP00000342215	5
ENSP00000311545	1
ENSP00000311545	16
ENSP00000311545	241
ENSP00000311545	7
ENSP00000368797	5
ENSP00000368797	112
ENSP00000303908	15
ENSP00000259008	18
ENSP00000223073	37
ENSP00000223073	146
ENSP00000419162	3
