protein	group	loop_length
ENSP00000314223	pfam	17
ENSP00000314223	pfam_whole	17
ENSP00000319250	pfam	25
ENSP00000319250	pfam_whole	25
ENSP00000309782	pfam	10
ENSP00000309782	pfam_whole	10
ENSP00000374482	pfam	4
ENSP00000374482	pfam_whole	7
ENSP00000205194	pfam	8
ENSP00000205194	pfam_whole	15
ENSP00000480908	pfam	0
ENSP00000480908	pfam_whole	10
ENSP00000362445	pfam	0
ENSP00000362445	pfam_whole	0
ENSP00000443647	pfam	53
ENSP00000443647	pfam_whole	53
ENSP00000317818	pfam	0
ENSP00000317818	pfam_whole	0
ENSP00000462259	pfam	0
ENSP00000462259	pfam_whole	17
ENSP00000378996	pfam	34
ENSP00000378996	pfam_whole	34
ENSP00000313809	pfam	0
ENSP00000313809	pfam_whole	0
ENSP00000313809	pfam	0
ENSP00000313809	pfam_whole	0
ENSP00000341013	pfam	0
ENSP00000341013	pfam_whole	0
ENSP00000365651	pfam	0
ENSP00000365651	pfam_whole	39
ENSP00000483195	pfam	0
ENSP00000483195	pfam_whole	62
ENSP00000391800	pfam	17
ENSP00000391800	pfam_whole	17
ENSP00000252490	pfam	3
ENSP00000252490	pfam_whole	15
ENSP00000468139	pfam	4
ENSP00000468139	pfam_whole	18
ENSP00000476911	pfam	2
ENSP00000476911	pfam_whole	8
ENSP00000468029	pfam	4
ENSP00000468029	pfam_whole	9
ENSP00000468139	pfam	2
ENSP00000468139	pfam_whole	18
ENSP00000317674	pfam	8
ENSP00000317674	pfam_whole	29
ENSP00000249044	pfam	6
ENSP00000249044	pfam_whole	6
ENSP00000386280	pfam	6
ENSP00000386280	pfam_whole	6
ENSP00000324277	pfam	6
ENSP00000324277	pfam_whole	14
ENSP00000365081	pfam	27
ENSP00000365081	pfam_whole	27
ENSP00000369513	pfam	20
ENSP00000369513	pfam_whole	20
ENSP00000343314	pfam	3
ENSP00000343314	pfam_whole	19
ENSP00000297574	pfam	0
ENSP00000297574	pfam_whole	127
