protein	number_letter	pfam_domain	domain_length	group	letter
ENSP00000314223	12	PF00001.20	287	Hs_ps13-17	E
ENSP00000314223	206	PF00001.20	287	Hs_ps13-17	H
ENSP00000314223	69	PF00001.20	287	Hs_ps13-17	L
ENSP00000319250	5	PF00001.20	259	Hs_ps13-17	E
ENSP00000319250	184	PF00001.20	259	Hs_ps13-17	H
ENSP00000319250	70	PF00001.20	259	Hs_ps13-17	L
ENSP00000309782	21	PF00001.20	202	Hs_ps13-17	E
ENSP00000309782	145	PF00001.20	202	Hs_ps13-17	H
ENSP00000309782	36	PF00001.20	202	Hs_ps13-17	L
ENSP00000374482	2	PF10328.8	132	Hs_ps13-17	E
ENSP00000374482	115	PF10328.8	132	Hs_ps13-17	H
ENSP00000374482	15	PF10328.8	132	Hs_ps13-17	L
ENSP00000205194	22	PF00583.24	60	Hs_ps13-17	E
ENSP00000205194	21	PF00583.24	60	Hs_ps13-17	H
ENSP00000205194	17	PF00583.24	60	Hs_ps13-17	L
ENSP00000480908	0	PF09085.9	111	Hs_ps13-17	E
ENSP00000480908	0	PF09085.9	111	Hs_ps13-17	H
ENSP00000480908	111	PF09085.9	111	Hs_ps13-17	L
ENSP00000362445	0	PF15202.5	41	Hs_ps13-17	E
ENSP00000362445	34	PF15202.5	41	Hs_ps13-17	H
ENSP00000362445	7	PF15202.5	41	Hs_ps13-17	L
ENSP00000443647	49	PF15334.5	323	Hs_ps13-17	E
ENSP00000443647	32	PF15334.5	323	Hs_ps13-17	H
ENSP00000443647	242	PF15334.5	323	Hs_ps13-17	L
ENSP00000317818	13	PF15298.5	56	Hs_ps13-17	E
ENSP00000317818	0	PF15298.5	56	Hs_ps13-17	H
ENSP00000317818	43	PF15298.5	56	Hs_ps13-17	L
ENSP00000462259	0	PF10470.8	34	Hs_ps13-17	E
ENSP00000462259	31	PF10470.8	34	Hs_ps13-17	H
ENSP00000462259	3	PF10470.8	34	Hs_ps13-17	L
ENSP00000378996	16	PF11092.7	66	Hs_ps13-17	E
ENSP00000378996	0	PF11092.7	66	Hs_ps13-17	H
ENSP00000378996	50	PF11092.7	66	Hs_ps13-17	L
ENSP00000313809	2	PF05111.11	186	Hs_ps13-17	E
ENSP00000313809	9	PF05111.11	186	Hs_ps13-17	H
ENSP00000313809	175	PF05111.11	186	Hs_ps13-17	L
ENSP00000313809	0	PF05111.11	248	Hs_ps13-17	E
ENSP00000313809	0	PF05111.11	248	Hs_ps13-17	H
ENSP00000313809	248	PF05111.11	248	Hs_ps13-17	L
ENSP00000341013	0	PF15757.4	188	Hs_ps13-17	E
ENSP00000341013	0	PF15757.4	188	Hs_ps13-17	H
ENSP00000341013	188	PF15757.4	188	Hs_ps13-17	L
ENSP00000365651	0	PF00212.17	29	Hs_ps13-17	E
ENSP00000365651	2	PF00212.17	29	Hs_ps13-17	H
ENSP00000365651	27	PF00212.17	29	Hs_ps13-17	L
ENSP00000483195	0	PF00212.17	25	Hs_ps13-17	E
ENSP00000483195	0	PF00212.17	25	Hs_ps13-17	H
ENSP00000483195	25	PF00212.17	25	Hs_ps13-17	L
ENSP00000391800	9	PF15360.5	52	Hs_ps13-17	E
ENSP00000391800	0	PF15360.5	52	Hs_ps13-17	H
ENSP00000391800	43	PF15360.5	52	Hs_ps13-17	L
ENSP00000252490	0	PF05355.10	76	Hs_ps13-17	E
ENSP00000252490	59	PF05355.10	76	Hs_ps13-17	H
ENSP00000252490	17	PF05355.10	76	Hs_ps13-17	L
ENSP00000468139	0	PF05355.10	76	Hs_ps13-17	E
ENSP00000468139	59	PF05355.10	76	Hs_ps13-17	H
ENSP00000468139	17	PF05355.10	76	Hs_ps13-17	L
ENSP00000476911	0	PF04711.12	74	Hs_ps13-17	E
ENSP00000476911	64	PF04711.12	74	Hs_ps13-17	H
ENSP00000476911	10	PF04711.12	74	Hs_ps13-17	L
ENSP00000468029	0	PF04691.11	54	Hs_ps13-17	E
ENSP00000468029	48	PF04691.11	54	Hs_ps13-17	H
ENSP00000468029	6	PF04691.11	54	Hs_ps13-17	L
ENSP00000468139	0	PF15119.5	45	Hs_ps13-17	E
ENSP00000468139	28	PF15119.5	45	Hs_ps13-17	H
ENSP00000468139	17	PF15119.5	45	Hs_ps13-17	L
ENSP00000317674	6	PF05461.10	314	Hs_ps13-17	E
ENSP00000317674	267	PF05461.10	314	Hs_ps13-17	H
ENSP00000317674	41	PF05461.10	314	Hs_ps13-17	L
ENSP00000249044	5	PF05461.10	300	Hs_ps13-17	E
ENSP00000249044	254	PF05461.10	300	Hs_ps13-17	H
ENSP00000249044	41	PF05461.10	300	Hs_ps13-17	L
ENSP00000386280	6	PF05461.10	266	Hs_ps13-17	E
ENSP00000386280	237	PF05461.10	266	Hs_ps13-17	H
ENSP00000386280	23	PF05461.10	266	Hs_ps13-17	L
ENSP00000324277	6	PF05461.10	104	Hs_ps13-17	E
ENSP00000324277	85	PF05461.10	104	Hs_ps13-17	H
ENSP00000324277	13	PF05461.10	104	Hs_ps13-17	L
ENSP00000365081	62	PF11032.7	185	Hs_ps13-17	E
ENSP00000365081	35	PF11032.7	185	Hs_ps13-17	H
ENSP00000365081	88	PF11032.7	185	Hs_ps13-17	L
ENSP00000369513	37	PF05827.11	140	Hs_ps13-17	E
ENSP00000369513	40	PF05827.11	140	Hs_ps13-17	H
ENSP00000369513	63	PF05827.11	140	Hs_ps13-17	L
ENSP00000343314	6	PF02038.15	45	Hs_ps13-17	E
ENSP00000343314	19	PF02038.15	45	Hs_ps13-17	H
ENSP00000343314	20	PF02038.15	45	Hs_ps13-17	L
ENSP00000297574	2	PF06989.11	49	Hs_ps13-17	E
ENSP00000297574	0	PF06989.11	49	Hs_ps13-17	H
ENSP00000297574	47	PF06989.11	49	Hs_ps13-17	L
ENSP00000319281	0	PF05466.11	225	Hs_ps13-17	E
ENSP00000319281	0	PF05466.11	225	Hs_ps13-17	H
ENSP00000319281	225	PF05466.11	225	Hs_ps13-17	L
ENSP00000260442	0	PF00452.18	114	Hs_ps13-17	E
ENSP00000260442	88	PF00452.18	114	Hs_ps13-17	H
ENSP00000260442	26	PF00452.18	114	Hs_ps13-17	L
ENSP00000309103	0	PF10514.8	167	Hs_ps13-17	E
ENSP00000309103	26	PF10514.8	167	Hs_ps13-17	H
ENSP00000309103	141	PF10514.8	167	Hs_ps13-17	L
ENSP00000473842	28	PF06407.10	318	Hs_ps13-17	E
ENSP00000473842	180	PF06407.10	318	Hs_ps13-17	H
ENSP00000473842	110	PF06407.10	318	Hs_ps13-17	L
ENSP00000432104	11	PF06407.10	188	Hs_ps13-17	E
ENSP00000432104	104	PF06407.10	188	Hs_ps13-17	H
ENSP00000432104	73	PF06407.10	188	Hs_ps13-17	L
ENSP00000318822	0	PF06393.10	189	Hs_ps13-17	E
ENSP00000318822	126	PF06393.10	189	Hs_ps13-17	H
ENSP00000318822	63	PF06393.10	189	Hs_ps13-17	L
ENSP00000227525	0	PF14965.5	173	Hs_ps13-17	E
ENSP00000227525	150	PF14965.5	173	Hs_ps13-17	H
ENSP00000227525	23	PF14965.5	173	Hs_ps13-17	L
ENSP00000367172	24	PF04089.13	93	Hs_ps13-17	E
ENSP00000367172	24	PF04089.13	93	Hs_ps13-17	H
ENSP00000367172	45	PF04089.13	93	Hs_ps13-17	L
ENSP00000329292	24	PF04089.13	94	Hs_ps13-17	E
ENSP00000329292	25	PF04089.13	94	Hs_ps13-17	H
ENSP00000329292	45	PF04089.13	94	Hs_ps13-17	L
