protein	number_letter	length	group	letter
None_protein254433	15	48	Hs_igen	E
None_protein254433	6	48	Hs_igen	H
None_protein254433	27	48	Hs_igen	L
Raj_Hs_1683	14	54	Hs_ps31	E
Raj_Hs_1683	0	54	Hs_ps31	H
Raj_Hs_1683	40	54	Hs_ps31	L
Raj_Hs_1686	18	79	Hs_ps31	E
Raj_Hs_1686	3	79	Hs_ps31	H
Raj_Hs_1686	58	79	Hs_ps31	L
Raj_Hs_1687	0	41	Hs_ps31	E
Raj_Hs_1687	12	41	Hs_ps31	H
Raj_Hs_1687	29	41	Hs_ps31	L
None_protein865041	0	119	Hs_igen	E
None_protein865041	0	119	Hs_igen	H
None_protein865041	119	119	Hs_igen	L
Hs_rnd_gnm2_918696	24	110	Hs_rand	E
Hs_rnd_gnm2_918696	25	110	Hs_rand	H
Hs_rnd_gnm2_918696	61	110	Hs_rand	L
Raj_Hs_278	9	58	Hs_ps31	E
Raj_Hs_278	0	58	Hs_ps31	H
Raj_Hs_278	49	58	Hs_ps31	L
Raj_Hs_277	22	144	Hs_ps20-21	E
Raj_Hs_277	36	144	Hs_ps20-21	H
Raj_Hs_277	86	144	Hs_ps20-21	L
Raj_Hs_273	15	56	Hs_ps31	E
Raj_Hs_273	13	56	Hs_ps31	H
Raj_Hs_273	28	56	Hs_ps31	L
ENSP00000351789	109	418	Hs_ps1-2	E
ENSP00000351789	44	418	Hs_ps1-2	H
ENSP00000351789	265	418	Hs_ps1-2	L
Hs_rnd_gnm4_40554	14	56	Hs_rand	E
Hs_rnd_gnm4_40554	23	56	Hs_rand	H
Hs_rnd_gnm4_40554	19	56	Hs_rand	L
ENSP00000492463	0	198	Hs_ps1-2	E
ENSP00000492463	86	198	Hs_ps1-2	H
ENSP00000492463	112	198	Hs_ps1-2	L
None_protein1201607	10	71	Hs_igen	E
None_protein1201607	29	71	Hs_igen	H
None_protein1201607	32	71	Hs_igen	L
Hs_rnd_gnm4_1138857	55	187	Hs_rand	E
Hs_rnd_gnm4_1138857	15	187	Hs_rand	H
Hs_rnd_gnm4_1138857	117	187	Hs_rand	L
vdp2013_S4_581	0	51	Hs_ps31	E
vdp2013_S4_581	29	51	Hs_ps31	H
vdp2013_S4_581	22	51	Hs_ps31	L
ENSP00000424864	6	213	Hs_ps20-21	E
ENSP00000424864	65	213	Hs_ps20-21	H
ENSP00000424864	142	213	Hs_ps20-21	L
None_protein712498	10	119	Hs_igen	E
None_protein712498	23	119	Hs_igen	H
None_protein712498	86	119	Hs_igen	L
Hs_rnd_gnm9_971258	37	149	Hs_rand	E
Hs_rnd_gnm9_971258	42	149	Hs_rand	H
Hs_rnd_gnm9_971258	70	149	Hs_rand	L
None_protein844823	6	158	Hs_igen	E
None_protein844823	6	158	Hs_igen	H
None_protein844823	146	158	Hs_igen	L
None_protein586446	10	50	Hs_igen	E
None_protein586446	33	50	Hs_igen	H
None_protein586446	7	50	Hs_igen	L
ENSP00000468139	0	178	Hs_ps13-17	E
ENSP00000468139	128	178	Hs_ps13-17	H
ENSP00000468139	50	178	Hs_ps13-17	L
Hs_rnd_gnm10_215954	43	61	Hs_rand	E
Hs_rnd_gnm10_215954	5	61	Hs_rand	H
Hs_rnd_gnm10_215954	13	61	Hs_rand	L
vdp2013_S4_238	17	95	Hs_ps31	E
vdp2013_S4_238	10	95	Hs_ps31	H
vdp2013_S4_238	68	95	Hs_ps31	L
