protein	age	num_domains	total_domain_length	protein_length
None_protein254433	Hs_igen	0	0	48
Raj_Hs_1683	Hs_ps31	0	0	54
Raj_Hs_1686	Hs_ps31	0	0	79
Raj_Hs_1687	Hs_ps31	0	0	41
None_protein865041	Hs_igen	0	0	119
Hs_rnd_gnm2_918696	Hs_rand	0	0	110
Raj_Hs_278	Hs_ps31	0	0	58
Raj_Hs_277	Hs_ps20-21	0	0	144
Raj_Hs_273	Hs_ps31	0	0	56
vdp2013_S4_230	Hs_ps31	0	0	123
Hs_rnd_gnm4_40554	Hs_rand	0	0	56
ENSP00000492463	Hs_ps1-2	2	84	198
None_protein1201607	Hs_igen	0	0	71
Hs_rnd_gnm4_1138857	Hs_rand	0	0	187
Hs_rnd_gnm7_1217796	Hs_rand	0	0	62
ENSP00000424864	Hs_ps20-21	1	169	213
None_protein1102145	Hs_igen	0	0	57
ENSP00000366284	Hs_ps1-2	7	899	1823
Hs_rnd_gnm9_971258	Hs_rand	0	0	149
None_protein844823	Hs_igen	0	0	158
None_protein586446	Hs_igen	0	0	50
ENSP00000468139	Hs_ps13-17	2	121	178
None_protein321737	Hs_igen	0	0	57
Hs_rnd_gnm10_215954	Hs_rand	0	0	61
vdp2013_S4_586	Hs_ps31	0	0	47
ENSP00000417250	Hs_ps1-2	1	225	368
vdp2013_S4_587	Hs_ps31	0	0	97
None_protein318555	Hs_igen	0	0	40
ENSP00000376215	Hs_ps1-2	1	136	207
ENSP00000482001	Hs_ps13-17	0	0	565
None_protein484894	Hs_igen	0	0	40
Hs_rnd_gnm10_652763	Hs_rand	0	0	49
vdp2013_S4_516	Hs_ps31	0	0	104
ENSP00000330523	Hs_ps1-2	0	0	243
Hs_rnd_gnm3_1020157	Hs_rand	0	0	148
ENSP00000333725	Hs_ps1-2	15	302	533
Raj_Hs_494	Hs_ps31	0	0	80
vdp2013_S4_908	Hs_ps31	0	0	46
vdp2013_S4_909	Hs_ps31	0	0	40
vdp2013_S4_905	Hs_ps20-21	0	0	88
vdp2013_S4_906	Hs_ps31	0	0	60
vdp2013_S4_907	Hs_ps31	0	0	54
vdp2013_S4_900	Hs_ps31	0	0	43
vdp2013_S4_901	Hs_ps31	0	0	42
vdp2013_S4_902	Hs_ps31	0	0	71
None_protein459568	Hs_igen	0	0	54
ENSP00000366190	Hs_ps1-2	2	68	212
Hs_rnd_gnm5_1209748	Hs_rand	0	0	59
ENSP00000353048	Hs_ps1-2	1	482	557
Hs_rnd_gnm2_492494	Hs_rand	0	0	55
None_protein711262	Hs_igen	0	0	56
None_protein550542	Hs_igen	0	0	45
None_protein571453	Hs_igen	0	0	45
ENSP00000341282	Hs_ps13-17	1	151	351
ENSP00000314480	Hs_ps1-2	1	56	531
None_protein911449	Hs_igen	0	0	56
Hs_rnd_gnm5_1286392	Hs_rand	0	0	68
Hs_rnd_gnm2_1033104	Hs_rand	0	0	54
ENSP00000251241	Hs_ps1-2	5	453	779
None_protein430528	Hs_igen	0	0	112
ENSP00000232978	Hs_ps1-2	1	164	1462
None_protein767699	Hs_igen	0	0	58
Hs_rnd_gnm7_1112640	Hs_rand	0	0	98
ENSP00000472160	Hs_ps13-17	1	40	148
None_protein1016682	Hs_igen	0	0	42
None_protein854074	Hs_igen	0	0	112
ENSP00000485524	Hs_ps13-17	0	0	161
None_protein420003	Hs_igen	0	0	115
ENSP00000450581	Hs_ps20-21	0	0	62
ENSP00000422769	Hs_ps31	0	0	163
None_protein1043737	Hs_igen	0	0	77
ENSP00000480158	Hs_ps1-2	22	1563	1980
ENSP00000262518	Hs_ps1-2	3	453	3230
Hs_JP201901_46	Hs_ps31	0	0	73
None_protein343003	Hs_igen	0	0	80
None_protein939680	Hs_igen	0	0	93
ENSP00000378517	Hs_ps13-17	1	293	314
ENSP00000374399	Hs_ps1-2	1	222	289
None_protein1132929	Hs_igen	0	0	43
Hs_JP201901_43	Hs_ps13-17	0	0	66
None_protein1127914	Hs_igen	0	0	53
Baz_Hs_158	Hs_ps31	0	0	65
Baz_Hs_155	Hs_ps13-17	0	0	70
Hs_rnd_gnm9_1165709	Hs_rand	0	0	95
ENSP00000383938	Hs_ps1-2	2	84	402
None_protein459014	Hs_igen	0	0	80
ENSP00000289359	Hs_ps1-2	2	205	249
None_protein712498	Hs_igen	0	0	119
ENSP00000476267	Hs_ps1-2	1	258	345
None_protein683489	Hs_igen	0	0	74
ENSP00000325875	Hs_ps1-2	3	667	724
None_protein936428	Hs_igen	0	0	51
Hs_rnd_gnm9_619527	Hs_rand	0	0	54
ENSP00000396722	Hs_ps1-2	11	265	355
None_protein245442	Hs_igen	0	0	63
None_protein338073	Hs_igen	0	0	87
Raj_Hs_3144	Hs_ps31	0	0	103
None_protein297972	Hs_igen	0	0	127
