protein	number_letter	stretch_num	length	group	letter
None_protein254433	15	1	48	Hs_igen	E
None_protein254433	6	1	48	Hs_igen	H
None_protein254433	27	1	48	Hs_igen	L
Raj_Hs_1683	14	1	54	Hs_ps31	E
Raj_Hs_1683	0	1	54	Hs_ps31	H
Raj_Hs_1683	40	1	54	Hs_ps31	L
Raj_Hs_1686	18	1	79	Hs_ps31	E
Raj_Hs_1686	3	1	79	Hs_ps31	H
Raj_Hs_1686	58	1	79	Hs_ps31	L
Raj_Hs_1687	0	1	41	Hs_ps31	E
Raj_Hs_1687	12	1	41	Hs_ps31	H
Raj_Hs_1687	29	1	41	Hs_ps31	L
None_protein865041	0	1	119	Hs_igen	E
None_protein865041	0	1	119	Hs_igen	H
None_protein865041	119	1	119	Hs_igen	L
Hs_rnd_gnm2_918696	24	1	110	Hs_rand	E
Hs_rnd_gnm2_918696	25	1	110	Hs_rand	H
Hs_rnd_gnm2_918696	61	1	110	Hs_rand	L
Raj_Hs_278	5	1	6	Hs_ps31	E
Raj_Hs_278	0	1	6	Hs_ps31	H
Raj_Hs_278	1	1	6	Hs_ps31	L
Raj_Hs_278	4	2	22	Hs_ps31	E
Raj_Hs_278	0	2	22	Hs_ps31	H
Raj_Hs_278	18	2	22	Hs_ps31	L
Raj_Hs_277	22	1	144	Hs_ps20-21	E
Raj_Hs_277	36	1	144	Hs_ps20-21	H
Raj_Hs_277	86	1	144	Hs_ps20-21	L
Raj_Hs_273	15	1	56	Hs_ps31	E
Raj_Hs_273	13	1	56	Hs_ps31	H
Raj_Hs_273	28	1	56	Hs_ps31	L
ENSP00000351789	90	1	310	Hs_ps1-2	E
ENSP00000351789	35	1	310	Hs_ps1-2	H
ENSP00000351789	185	1	310	Hs_ps1-2	L
ENSP00000351789	19	2	77	Hs_ps1-2	E
ENSP00000351789	9	2	77	Hs_ps1-2	H
ENSP00000351789	49	2	77	Hs_ps1-2	L
Hs_rnd_gnm4_40554	14	1	56	Hs_rand	E
Hs_rnd_gnm4_40554	23	1	56	Hs_rand	H
Hs_rnd_gnm4_40554	19	1	56	Hs_rand	L
ENSP00000492463	0	1	120	Hs_ps1-2	E
